year,ad budget,franchise profits,franchises
2020,325.5,10726.1,36521
2019,365.8,11655.7,36059
2018,388.8,11012.5,35058
2017,532.9,10101.5,34108
2016,645.8,9326.9,31230
2015,718.7,8924.7,30081
2014,808.2,9272,29544
2013,808.4,9231,28691
2012,787.5,8964,27882
2011,768.6,8713,27075
2010,687,7842,26338
2009,650.8,7286,26216
2008,703.4,6961,25465
2007,718.3,6176,24471
2006,669.8,5493,22880
2005,656.5,5108,22593
2004,619.5,4841,18334
2003,596.7,4345,18248
2002,647.6,3906,18132
2001,600.9,3829,17864
2000,595.3,3776,17395
