0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
35.5,d_18950901,2.5,0.1,0,0,0,0,62,29.5,4.5,0.8,0
58.5,d_18951001,40.5,18.9,5.8,4.3,2.1,0,1,0,0,0,0
60.4,d_18951101,39.6,15.3,3.7,1.3,0,0,0.1,0,0,0,0
44.5,d_18951201,55.3,22.3,5.2,2.1,0,0,0.1,0,0,0,0
36.5,d_18960101,20.8,11.7,2.3,0.4,0,0,42.7,16.3,0,0,0
58.7,d_18960201,37.8,26.8,9.9,2.1,0.1,0,3.5,0,0,0,0
61,d_18960301,25.1,12.5,1.6,0.1,0,0,13.8,3.5,0,0,0
46.7,d_18960401,22.1,10.4,0.4,0,0,0,31.3,17.5,1.7,0,0
41.1,d_18960501,21.3,8.2,0.1,0,0,0,37.8,22.2,5.5,1.3,0
51.3,d_18960601,17.3,4.8,0,0,0,0,31.4,16.9,0,0,0
42.2,d_18960701,15.9,4.3,0.3,0,0,0,41.9,24.1,4,0,0
37.8,d_18960801,12.9,2.4,0,0,0,0,49.4,37.6,14.6,3,0
39.9,d_18960901,2.6,0,0,0,0,0,57.5,49,26.3,12.7,1.6
61.5,d_18961001,0,0,0,0,0,0,38.5,16,3.6,0.5,0
2,d_18961101,0,0,0,0,0,0,97.9,82,46.4,23.7,12.4
17,d_18961201,0,0,0,0,0,0,83,56.5,37.3,16.2,5.7
41.6,d_18970101,0,0,0,0,0,0,58.4,21.8,6.3,0.4,0
19.3,d_18970201,0,0,0,0,0,0,80.7,39.6,2.9,0,0
6.6,d_18970301,0,0,0,0,0,0,93.3,51.5,5.1,1.8,0
32.6,d_18970401,0,0,0,0,0,0,67.3,26.9,3.4,0.3,0
53.4,d_18970501,0,0,0,0,0,0,46.7,18.2,1,0,0
50.9,d_18970601,0,0,0,0,0,0,49.1,18.5,3.1,0,0
62.8,d_18970701,0,0,0,0,0,0,37.2,13.5,1.8,0,0
77.1,d_18970801,0,0,0,0,0,0,23,7.3,0,0,0
64.3,d_18970901,0,0,0,0,0,0,35.7,13.4,2.2,0,0
31.1,d_18971001,0.2,0,0,0,0,0,68.7,29.1,4.4,0.4,0
80.2,d_18971101,8.1,3,0,0,0,0,11.7,0.7,0,0,0
49.8,d_18971201,49.6,34,12.3,10,5.6,0,0.6,0,0,0,0
44.3,d_18980101,55.6,46.4,22.2,8.1,0,0,0.1,0,0,0,0
38.5,d_18980201,61.5,39.6,18.5,10.2,1.4,0,0,0,0,0,0
24.5,d_18980301,75.5,63.2,36.3,22.8,7.9,0,0,0,0,0,0
19.6,d_18980401,80.5,69,42.7,27.7,11.8,0,0,0,0,0,0
23.5,d_18980501,76.5,62.5,32.8,19.7,6.9,0,0,0,0,0,0
23.2,d_18980601,76.7,60.5,29.4,18.1,6.7,0,0,0,0,0,0
8.1,d_18980701,91.9,77.9,43.2,26.8,11,0,0,0,0,0,0
9.6,d_18980801,90.5,75.5,37.2,21.8,4.4,0,0,0,0,0,0
13.4,d_18980901,86.6,65.3,19.4,1.2,0,0,0,0,0,0,0
17.9,d_18981001,82.2,49.9,4,0.4,0,0,0,0,0,0,0
15.4,d_18981101,84.6,68.6,16.1,1.3,0,0,0,0,0,0,0
15.9,d_18981201,84.1,64.5,6.9,1.2,0,0,0,0,0,0,0
78.4,d_18990101,21.5,4.3,0,0,0,0,0.1,0,0,0,0
10.4,d_18990201,89.6,73.9,21.3,7.5,1.2,0,0,0,0,0,0
46.2,d_18990301,53.4,27.6,5.4,0.4,0,0,0.4,0,0,0,0
39.1,d_18990401,60.8,34.4,10.5,2.6,0,0,0.2,0,0,0,0
39.2,d_18990501,60.8,34.9,14.8,4.6,0.1,0,0,0,0,0,0
43.2,d_18990601,56.7,33.1,8.9,2.7,0,0,0,0,0,0,0
47.7,d_18990701,52.2,31.4,7,1.2,0,0,0,0,0,0,0
52.6,d_18990801,47,27.7,1.7,0,0,0,0.4,0,0,0,0
61.3,d_18990901,32.8,21.7,7.9,6.4,4.7,0,5.9,1.2,0.1,0,0
33,d_18991001,31.7,22.1,9.8,6,3.2,0,35.3,19.8,1.6,0.6,0
24.2,d_18991101,15.2,8.9,3.4,1.1,0,0,60.5,55.3,42.7,26.7,9.2
29.2,d_18991201,20.3,11.6,3.9,0.5,0,0,50.5,37.8,7.2,0.7,0
41.2,d_19000101,20.2,11.8,3.3,0.9,0,0,38.6,25,1,0,0
36.8,d_19000201,47.2,31.6,7.8,1.9,0,0,16.1,6,0,0,0
32.2,d_19000301,55.5,43.5,16.8,4.9,0,0,12.3,5.3,0,0,0
37.1,d_19000401,49.9,30.2,4.6,0,0,0,13,5.3,0,0,0
55.1,d_19000501,32.5,14.8,0,0,0,0,12.4,1.8,0,0,0
58.6,d_19000601,27.7,10.7,0,0,0,0,13.6,2.8,0,0,0
60.3,d_19000701,37,14.6,0.5,0,0,0,2.7,1,0,0,0
37.3,d_19000801,62.8,31.5,1.4,0,0,0,0,0,0,0,0
32.7,d_19000901,67.4,23.8,0,0,0,0,0,0,0,0,0
61.9,d_19001001,34,13.4,0.5,0.1,0,0,4.1,0.3,0,0,0
17.3,d_19001101,2.1,1.2,0.1,0,0,0,80.6,64.4,23,4,0
32,d_19001201,3,1.6,0.1,0,0,0,65.1,42.4,10.8,0.6,0
28.7,d_19010101,5.1,2.6,1.2,0.8,0.3,0,66.1,43.1,16.9,4.7,0
21.1,d_19010201,0,0,0,0,0,0,78.9,52.3,9.8,3.2,0.4
48.4,d_19010301,0,0,0,0,0,0,51.6,18.5,3,1.1,0
53.7,d_19010401,0,0,0,0,0,0,46.3,22.7,3.8,1.7,0
39.3,d_19010501,0,0,0,0,0,0,60.8,29.7,6.3,2.7,0.3
37.8,d_19010601,0,0,0,0,0,0,62.2,30.6,5.2,1.9,0
39.4,d_19010701,7.9,0.2,0,0,0,0,52.8,26.3,6.6,1,0
