Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
12/10/2018,114-1854602-7443441,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
12/10/2018,114-4556977-8111468,USPS(9200190224058222386782),$8.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.99 
12/10/2018,114-0520352-6046642,AMZN_US(TBA546645983000),$79.90 ,$0.00 ,$6.60 ,$0.00 ,$6.60 ,$86.50 
12/10/2018,114-6043743-3468201,China Post(LT109460378CN),$15.36 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.36 
12/13/2018,114-4500927-3433063,AMZN_US(TBA567010724000),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
12/13/2018,114-0888155-1579415,AMZN_US(TBA567010724000),$36.98 ,$0.00 ,$2.14 ,$4.31 ,$2.14 ,$34.81 
12/14/2018,114-3753597-6054621,USPS(9200192148980282525540),$54.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$54.00 
12/14/2018,114-3188480-2090631,AMZN_US(TBA565894700000),$39.00 ,$0.00 ,$3.22 ,$0.00 ,$3.22 ,$42.22 
12/14/2018,114-3188480-2090631,AMZN_US(TBA567881698000),$34.27 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$34.27 
12/14/2018,114-0185826-2085838,AMZN_US(TBA567010724000),$39.99 ,$0.00 ,$3.31 ,$0.00 ,$3.31 ,$43.30 
1/7/2019,114-0561151-8428264,Amazon Merchants@(9461211699000074719349),$15.98 ,$0.00 ,$1.00 ,$0.00 ,$1.00 ,$16.98 
1/7/2019,114-8314331-6245810,AMZN_US(TBA667517117000),$40.24 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$40.24 
1/9/2019,113-9694656-8222655,AMZN_US(TBA673057725000),$48.97 ,$5.99 ,$0.00 ,$5.99 ,$0.00 ,$48.97 
3/28/2019,114-2684040-0216250,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
3/28/2019,114-4312840-0597837,AMZN_US(TBA989635348000),$9.98 ,$5.99 ,$0.00 ,$0.00 ,$0.00 ,$15.97 
6/12/2019,114-4137382-4735450,UPS(1Z6E06300390753619),$83.15 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$83.15 
6/12/2019,114-6707374-5673010,AMZN_US(TBA332301948000),$46.89 ,$7.49 ,$0.00 ,$1.40 ,$0.00 ,$52.98 
6/12/2019,114-8768404-6861047,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
11/15/2019,113-2377984-1361021,AMZN_US(TBA215191705000),$151.16 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$151.16 
